"county_fips_code","year","area_deprivation_index_percent"
"09001",2019,3
"09001",2020,3
"09003",2018,10
"09005",2019,4
"09007",2018,2
"09007",2020,3
"09009",2018,12
"09009",2020,13
"09009",2019,12
"09013",2018,3
"09015",2020,18
"09015",2019,19
"10001",2019,28
"10001",2018,28
"10005",2019,18
"11001",2020,10
"15001",2020,31
"15001",2018,34
"15003",2020,4
"15003",2019,4
"15005",2018,35
"15005",2020,77
"15005",2019,76
"15007",2020,9
"15009",2019,8
"25001",2018,3
"25001",2020,3
"25003",2020,20
"25005",2020,23
"25007",2018,1
"25009",2019,7
"25009",2020,8
"25013",2019,54
"25015",2019,6
"25017",2018,2
"25017",2019,2
"25019",2020,1
"25021",2019,1
"25021",2018,1
"25023",2020,3
"25025",2020,42
"25025",2019,45
"33001",2020,8
"33001",2018,9
"33001",2019,8
"33003",2020,10
"33003",2019,11
"33003",2018,10
"33007",2019,43
"33009",2020,10
"33011",2019,5
"33013",2018,5
"33017",2018,9
"33017",2019,8
"33019",2020,14
"44001",2018,3
"44001",2019,4
"44003",2018,6
"44005",2019,4
"44007",2019,50
"44007",2018,51
"44007",2020,48
"44009",2020,4
"44009",2019,3
"44009",2018,3
"50001",2018,8
"50001",2020,6
"50003",2019,20
"50003",2020,20
"50009",2020,58
"50009",2019,61
"50011",2019,12
"50011",2018,14
"50013",2019,5
"50013",2018,5
"50013",2020,4
"50015",2019,17
"50017",2019,14
"50017",2018,13
"50017",2020,14
"50019",2020,44
"50019",2019,43
"50021",2018,23
"50023",2020,11
"50023",2018,9
"50025",2020,21
"50025",2019,22
"02013",2020,74
"02013",2018,71
"02013",2019,75
"02016",2018,43
"02016",2019,38
"02016",2020,48
"02020",2018,4
"02020",2019,5
"02020",2020,6
"02050",2019,100
"02050",2020,100
"02050",2018,100
"02060",2020,20
"02068",2020,13
"02068",2018,8
"02070",2020,94
"02070",2018,91
"02070",2019,93
"02090",2020,10
"02090",2019,7
"02090",2018,7
"02100",2018,19
"02100",2020,10
"02105",2019,56
"02110",2020,4
"02110",2019,2
"02110",2018,3
"02122",2020,21
"02122",2018,17
"02130",2019,14
"02130",2020,15
"02130",2018,13
"02150",2018,11
"02150",2020,22
"02158",2019,100
"02164",2018,96
"02164",2019,96
"02170",2020,13
"02170",2018,10
"02170",2019,12
"02180",2018,99
"02180",2020,99
"02180",2019,99
"02185",2019,93
"02185",2020,93
"02188",2019,100
"02188",2018,100
"02195",2018,24
"02195",2020,34
"02198",2018,62
"02198",2019,68
"02220",2019,11
"02220",2018,11
"02230",2019,9
"02230",2018,4
"02261",2018,18
"02261",2019,8
"02261",2020,12
"02275",2018,40
"02275",2020,33
"02282",2020,33
"02282",2018,40
"02290",2020,99
"02290",2018,99
"01001",2018,27
"01001",2019,29
"01001",2020,29
"01003",2020,16
"01003",2019,17
"01009",2018,61
"01009",2019,63
"01011",2018,98
"01011",2019,98
"01011",2020,98
"01013",2020,86
"01013",2018,88
"01015",2019,71
"01015",2018,73
"01021",2020,78
"01023",2018,88
"01025",2018,93
"01031",2018,51
"01031",2019,54
"01033",2020,61
"01033",2019,59
"01033",2018,58
"01035",2020,92
"01035",2019,96
"01037",2019,80
"01037",2018,88
"01037",2020,70
"01039",2018,75
"01041",2020,77
"01041",2018,78
"01041",2019,77
"01045",2020,70
"01045",2019,71
"01047",2019,98
"01047",2018,98
"01047",2020,97
"01049",2018,88
"01053",2020,91
"01053",2018,91
"01053",2019,89
"01055",2018,69
"01055",2020,66
"01055",2019,68
"01057",2019,82
"01057",2018,81
"01059",2020,90
"01059",2018,92
"01061",2019,85
"01061",2018,86
"01063",2019,99
"01063",2018,99
"01065",2019,92
"01067",2020,62
"01069",2018,61
"01073",2018,44
"01075",2018,90
"01075",2020,84
"01075",2019,86
"01077",2020,51
"01077",2018,59
"01079",2020,75
"01079",2019,74
"01079",2018,73
"01081",2018,49
"01081",2020,49
"01083",2020,44
"01083",2018,46
"01085",2020,97
"01087",2019,94
"01087",2018,94
"01089",2020,17
"01091",2018,94
"01091",2019,91
"01093",2020,82
"01095",2019,78
"01095",2020,78
"01097",2018,59
"01097",2020,61
"01101",2019,64
"01101",2018,62
"01101",2020,67
"01103",2019,65
"01103",2018,63
"01103",2020,60
"01107",2019,88
"01107",2018,90
"01109",2019,81
"01109",2018,83
"01111",2019,83
"01111",2018,86
"01115",2018,33
"01115",2020,39
"01117",2019,5
"01117",2018,5
"01119",2018,97
"01121",2020,82
"01123",2018,84
"01125",2019,46
"01129",2018,86
"01131",2018,99
"01131",2019,98
"01133",2019,84
"01133",2020,83
"05001",2018,76
"05001",2019,79
"05003",2018,82
"05003",2020,86
"05005",2019,48
"05007",2020,20
"05007",2019,21
"05007",2018,24
"05009",2020,62
"05011",2020,93
"05013",2019,77
"05015",2018,70
"05015",2019,67
"05017",2020,96
"05017",2018,96
"05019",2018,73
"05021",2019,91
"05021",2020,91
"05021",2018,90
"05025",2018,63
"05029",2019,71
"05031",2018,60
"05031",2020,65
"05033",2020,62
"05033",2019,61
"05035",2020,88
"05035",2018,86
"05035",2019,87
"05037",2018,78
"05039",2018,81
"05039",2020,84
"05041",2018,98
"05043",2020,73
"05045",2020,41
"05045",2019,39
"05049",2018,78
"05049",2020,83
"05051",2018,64
"05051",2020,61
"05053",2020,41
"05053",2018,40
"05057",2018,91
"05057",2019,89
"05059",2018,65
"05059",2020,73
"05061",2020,85
"05061",2018,90
"05063",2018,73
"05063",2020,68
"05065",2018,75
"05067",2018,93
"05067",2019,93
"05069",2019,84
"05071",2019,84
"05071",2018,84
"05071",2020,86
"05073",2019,91
"05075",2019,79
"05075",2018,87
"05075",2020,78
"05077",2018,99
"05083",2019,80
"05085",2020,41
"05085",2018,34
"05085",2019,43
"05087",2020,78
"05087",2019,75
"05087",2018,75
"05089",2020,77
"05091",2019,78
"05093",2018,93
"05093",2020,95
"05095",2018,96
"05095",2020,96
"05097",2020,82
"05097",2018,75
"05097",2019,77
"05101",2019,71
"05103",2020,89
"05103",2018,87
"05105",2019,56
"05105",2018,66
"05107",2018,99
"05109",2020,77
"05109",2019,76
"05113",2020,89
"05113",2019,88
"05113",2018,85
"05117",2020,78
"05119",2018,42
"05119",2020,47
"05119",2019,44
"05121",2019,84
"05121",2020,84
"05123",2018,96
"05123",2020,97
"05125",2018,14
"05125",2019,13
"05127",2020,94
"05127",2019,93
"05129",2018,72
"05129",2019,74
"05131",2018,76
"05133",2018,94
"05133",2019,94
"05135",2018,85
"05135",2020,85
"05137",2020,87
"05139",2019,71
"05139",2020,72
"05141",2020,77
"05141",2018,75
"05145",2018,64
"05147",2018,94
"05149",2020,86
"05149",2019,87
"04001",2018,100
"04001",2020,99
"04001",2019,100
"04003",2020,59
"04003",2019,59
"04005",2019,53
"04007",2018,75
"04009",2018,79
"04011",2020,75
"04011",2019,73
"04012",2019,90
"04012",2020,93
"04013",2019,32
"04015",2020,69
"04017",2019,97
"04017",2020,97
"04019",2019,53
"04019",2018,53
"04021",2018,50
"04023",2019,92
"04023",2018,91
"04025",2018,33
"04027",2019,92
"06001",2020,3
"06005",2019,11
"06007",2018,49
"06007",2019,47
"06009",2019,9
"06011",2018,80
"06011",2020,80
"06011",2019,79
